"","iso2c","country","NY.GDP.PCAP.KD","year"
"1","BR","Brazil",10888.9823851831,2017
"2","BR","Brazil",10868.6534435352,2016
"3","BR","Brazil",11351.5657481703,2015
"4","BR","Brazil",11870.1484076345,2014
"5","BR","Brazil",11915.4170541095,2013
"6","BR","Brazil",11673.7705356922,2012
"7","BR","Brazil",11560.4187506263,2011
"8","BR","Brazil",11224.1540829355,2010
"9","BR","Brazil",10538.7782816712,2009
"10","BR","Brazil",10656.869465705,2008
"11","BR","Brazil",10244.2671527554,2007
"12","BR","Brazil",9761.83428310215,2006
"13","BR","Brazil",9495.48465039729,2005
"14","BR","Brazil",9309.89205589422,2004
"15","BR","Brazil",8911.31951197477,2003
"16","BR","Brazil",8924.89696137144,2002
"17","BR","Brazil",8777.35713423328,2001
"18","BR","Brazil",8779.29079876564,2000
"19","BR","Brazil",8555.91567025826,1999
"20","BR","Brazil",8645.51339686202,1998
"21","BR","Brazil",8751.37999012428,1997
"22","BR","Brazil",8599.10164747379,1996
"23","BR","Brazil",8549.02151963917,1995
"24","BR","Brazil",8320.26047469075,1994
"25","BR","Brazil",8028.20392729677,1993
"26","BR","Brazil",7797.82726064772,1992
"27","BR","Brazil",7967.80337761803,1991
"28","BR","Brazil",7987.05521589932,1990
"29","BR","Brazil",8392.25284083343,1989
"30","BR","Brazil",8277.58858004189,1988
"31","BR","Brazil",8446.1043486702,1987
"32","BR","Brazil",8315.929824331,1986
"33","BR","Brazil",7861.00899228379,1985
"34","BR","Brazil",7440.05102728144,1984
"35","BR","Brazil",7226.45158218625,1983
"36","BR","Brazil",7654.52688239999,1982
"37","BR","Brazil",7789.31790061707,1981
"38","BR","Brazil",8340.32310474499,1980
"39","BR","Brazil",7825.85332760079,1979
"40","BR","Brazil",7505.24447527346,1978
"41","BR","Brazil",7444.83946688071,1977
"42","BR","Brazil",7288.44015242321,1976
"43","BR","Brazil",6798.9559138352,1975
"44","BR","Brazil",6618.72001271718,1974
"45","BR","Brazil",6216.91646225985,1973
"46","BR","Brazil",5587.38991532167,1972
"47","BR","Brazil",5109.59133742245,1971
"48","BR","Brazil",4706.72119192878,1970
