"","iso2c","country","NY.GDP.PCAP.KD","year"
"1","FR","France",42567.7436477565,2017
"2","FR","France",41968.9815739992,2016
"3","FR","France",41642.3104260915,2015
"4","FR","France",41374.7612490442,2014
"5","FR","France",41183.510959426,2013
"6","FR","France",41158.8849843807,2012
"7","FR","France",41283.1481006903,2011
"8","FR","France",40638.33400426,2010
"9","FR","France",40052.3051204039,2009
"10","FR","France",41478.9374058427,2008
"11","FR","France",41630.09373701,2007
"12","FR","France",40922.0832260575,2006
"13","FR","France",40252.4182186225,2005
"14","FR","France",39915.2645417897,2004
"15","FR","France",39120.1961408612,2003
"16","FR","France",39078.198702169,2002
"17","FR","France",38928.03030647,2001
"18","FR","France",38460.6821008145,2000
"19","FR","France",37280.3410691582,1999
"20","FR","France",36237.9630044732,1998
"21","FR","France",35122.7462838501,1997
"22","FR","France",34442.184394041,1996
"23","FR","France",34091.167447884,1995
"24","FR","France",33515.7135122261,1994
"25","FR","France",32869.7789732528,1993
"26","FR","France",33216.0089959065,1992
"27","FR","France",32855.9959897504,1991
"28","FR","France",32543.9424217428,1990
"29","FR","France",31801.8743779472,1989
"30","FR","France",30657.6459435035,1988
"31","FR","France",29452.1406977034,1987
"32","FR","France",28887.9793413264,1986
"33","FR","France",28391.8294326453,1985
"34","FR","France",28099.0714163019,1984
"35","FR","France",27832.1386790419,1983
"36","FR","France",27633.2437984653,1982
"37","FR","France",27089.3661778818,1981
"38","FR","France",26919.1943109963,1980
"39","FR","France",26599.3766427339,1979
"40","FR","France",25770.5756498831,1978
"41","FR","France",24867.5019495597,1977
"42","FR","France",24136.1347756493,1976
"43","FR","France",23261.1280785167,1975
"44","FR","France",23652.7613411661,1974
"45","FR","France",22866.7209449323,1973
"46","FR","France",21705.1608504203,1972
"47","FR","France",20951.6528120921,1971
"48","FR","France",20058.6816797054,1970
