"","iso2c","country","NY.GDP.PCAP.KD","year"
"1","JP","Japan",48556.9272446078,2017
"2","JP","Japan",47660.8930390239,2016
"3","JP","Japan",47163.4942109343,2015
"4","JP","Japan",46484.1552668943,2014
"5","JP","Japan",46249.2095886497,2013
"6","JP","Japan",45276.8743354208,2012
"7","JP","Japan",44538.7261906961,2011
"8","JP","Japan",44507.6763859172,2010
"9","JP","Japan",42724.7603699506,2009
"10","JP","Japan",45165.7879187658,2008
"11","JP","Japan",45687.2738147656,2007
"12","JP","Japan",44995.4944919199,2006
"13","JP","Japan",44393.6263842136,2005
"14","JP","Japan",43671.6799739019,2004
"15","JP","Japan",42744.01128499,2003
"16","JP","Japan",42190.8048728002,2002
"17","JP","Japan",42239.1849263722,2001
"18","JP","Japan",42169.7332837728,2000
"19","JP","Japan",41097.9596039728,1999
"20","JP","Japan",41277.0667588089,1998
"21","JP","Japan",41861.7534385858,1997
"22","JP","Japan",41514.8977946698,1996
"23","JP","Japan",40368.7122822971,1995
"24","JP","Japan",39441.5867622391,1994
"25","JP","Japan",39187.0345374998,1993
"26","JP","Japan",39488.3934345231,1992
"27","JP","Japan",39253.6418414259,1991
"28","JP","Japan",38074.4635372551,1990
"29","JP","Japan",36422.6070094665,1989
"30","JP","Japan",34877.6552283176,1988
"31","JP","Japan",32801.2061871434,1987
"32","JP","Japan",31473.9984330858,1986
"33","JP","Japan",30646.8786159949,1985
"34","JP","Japan",29301.3658497302,1984
"35","JP","Japan",28217.4982124445,1983
"36","JP","Japan",27443.6096477109,1982
"37","JP","Japan",26744.5561182362,1981
"38","JP","Japan",25854.5750247978,1980
"39","JP","Japan",25343.9836795834,1979
"40","JP","Japan",24229.6229443581,1978
"41","JP","Japan",23225.4357107301,1977
"42","JP","Japan",22464.0862125623,1976
"43","JP","Japan",21765.6691612111,1975
"44","JP","Japan",21453.7065366016,1974
"45","JP","Japan",22138.4313978023,1973
"46","JP","Japan",20662.7046487824,1972
"47","JP","Japan",19328.0090383104,1971
"48","JP","Japan",18699.7429578181,1970
