"","iso2c","country","NY.GDP.PCAP.KD","year"
"1","US","United States",53128.5396999252,2017
"2","US","United States",52319.1633505427,2016
"3","US","United States",51933.4048064982,2015
"4","US","United States",50871.674083306,2014
"5","US","United States",49971.9513571108,2013
"6","US","United States",49498.3909155226,2012
"7","US","United States",48786.4549755253,2011
"8","US","United States",48375.4069462972,2010
"9","US","United States",47575.608562749,2009
"10","US","United States",49364.6445500336,2008
"11","US","United States",49979.5338429195,2007
"12","US","United States",49575.401013591,2006
"13","US","United States",48755.6160606735,2005
"14","US","United States",47614.2798621765,2004
"15","US","United States",46304.0360895612,2003
"16","US","United States",45428.6456781274,2002
"17","US","United States",45047.4871976844,2001
"18","US","United States",45055.817918284,2000
"19","US","United States",43768.8849928326,1999
"20","US","United States",42292.8912011426,1998
"21","US","United States",40965.8466450522,1997
"22","US","United States",39681.5198579033,1996
"23","US","United States",38677.7150883663,1995
"24","US","United States",38104.9724675631,1994
"25","US","United States",37078.04968394,1993
"26","US","United States",36566.1737698527,1992
"27","US","United States",35803.8684213439,1991
"28","US","United States",36312.4141825874,1990
"29","US","United States",36033.3302026992,1989
"30","US","United States",35083.9690428182,1988
"31","US","United States",33975.6547953064,1987
"32","US","United States",33133.6954441913,1986
"33","US","United States",32306.8330567744,1985
"34","US","United States",31268.9756446518,1984
"35","US","United States",29406.2574686046,1983
"36","US","United States",28362.4946163409,1982
"37","US","United States",29191.9994879416,1981
"38","US","United States",28734.3992597646,1980
"39","US","United States",29082.5937779654,1979
"40","US","United States",28500.2404573534,1978
"41","US","United States",27286.2515144911,1977
"42","US","United States",26347.809281996,1976
"43","US","United States",25239.919905729,1975
"44","US","United States",25540.5010030208,1974
"45","US","United States",25908.9128017215,1973
"46","US","United States",24760.1453772345,1972
"47","US","United States",23775.2769229658,1971
"48","US","United States",23309.6209459064,1970
